Time,Manual_Count,Time,Netgear Inc.,Time,NETCOMM LIMITED,Time,Ubiquiti Networks,Time,UNKNOWN,Time,ASRock Incorporation,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,Apple,Time,Netgear Inc,Time,Belkin International Inc.,Time,D-Link International,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,"Samsung Electro Mechanics co., LTD.",Time,DrayTek Corp.,Time,"NETGEAR INC.,",Time,Hewlett Packard,Time,Hewlett-Packard Company,Time,"Apple, Inc.",Time,IBM Corp,Time,Dell Inc,Time,NETGEAR,Time,ASUSTek COMPUTER INC.,Time,Routerboard.com,Time,Liteon Technology Corporation,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,"Apple, Inc",Time,Lexmark International Inc.,Time,D-LINK INTERNATIONAL PTE LIMITED
172,11,172,0,172,0,172,1,172,1,172,1,172,0,172,0,172,4,172,0,172,0,172,0,172,2,172,1,180,2,180,0,185,0,189,0,197,3,206,2,206,0,210,1,222,0,222,0,227,1,240,0,,,,,,,,,,,,
176,11,176,0,176,0,176,1,176,3,176,1,176,0,176,0,176,5,176,0,176,0,176,0,176,2,176,0,185,2,185,0,189,0,193,0,202,2,210,2,210,0,214,1,227,0,227,0,231,1,,,,,,,,,,,,,,
180,11,180,0,180,0,180,1,180,3,180,1,180,0,180,0,180,6,180,0,180,0,180,0,180,2,180,0,189,2,189,0,193,0,197,0,206,2,214,2,214,0,218,1,231,0,231,0,235,1,,,,,,,,,,,,,,
185,11,185,0,185,0,185,1,185,3,185,1,185,0,185,0,185,6,185,0,185,0,185,0,185,2,185,0,193,2,193,0,197,0,202,0,210,3,218,2,218,0,222,1,235,0,235,0,240,1,,,,,,,,,,,,,,
189,11,189,0,189,0,189,1,189,3,189,1,189,0,189,0,189,5,189,0,189,0,189,0,189,2,189,0,197,2,197,0,202,0,206,0,214,3,222,3,222,0,227,1,240,0,240,0,,,,,,,,,,,,,,,,
193,11,193,0,193,0,193,1,193,3,193,1,193,0,193,0,193,5,193,0,193,0,193,0,193,2,193,0,202,2,202,0,206,0,210,0,218,4,227,3,227,0,231,1,,,,,,,,,,,,,,,,,,,,
197,11,197,0,197,0,197,1,197,3,197,1,197,0,197,0,197,5,197,0,197,0,197,0,197,2,197,0,206,2,206,0,210,0,214,0,222,3,231,3,231,0,235,1,,,,,,,,,,,,,,,,,,,,
202,11,202,0,202,0,202,1,202,4,202,1,202,0,202,0,202,5,202,1,202,0,202,0,202,2,202,0,210,2,210,0,214,0,218,0,227,3,235,3,235,0,240,1,,,,,,,,,,,,,,,,,,,,
206,11,206,0,206,0,206,1,206,4,206,1,206,0,206,0,206,6,206,0,206,0,206,0,206,2,206,0,214,2,214,0,218,0,222,0,231,3,240,3,240,0,,,,,,,,,,,,,,,,,,,,,,
210,11,210,0,210,0,210,1,210,4,210,1,210,0,210,0,210,6,210,0,210,0,210,0,210,2,210,0,218,2,218,0,222,0,227,0,235,3,,,,,,,,,,,,,,,,,,,,,,,,,,
214,11,214,0,214,0,214,1,214,4,214,1,214,0,214,0,214,6,214,0,214,0,214,0,214,2,214,0,222,2,222,0,227,0,231,0,240,3,,,,,,,,,,,,,,,,,,,,,,,,,,
218,11,218,0,218,0,218,1,218,4,218,1,218,0,218,0,218,6,218,0,218,0,218,0,218,1,218,0,227,2,227,0,231,0,235,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,11,222,0,222,0,222,1,222,4,222,1,222,0,222,0,222,6,222,0,222,0,222,0,222,1,222,0,231,2,231,0,235,0,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,11,227,0,227,0,227,1,227,4,227,1,227,0,227,0,227,7,227,0,227,0,227,0,227,2,227,0,235,2,235,0,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,11,231,0,231,0,231,1,231,3,231,1,231,0,231,0,231,6,231,0,231,0,231,0,231,2,231,0,240,2,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,11,235,0,235,0,235,1,235,3,235,1,235,0,235,0,235,6,235,0,235,0,235,0,235,2,235,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,11,240,0,240,0,240,1,240,4,240,1,240,0,240,0,240,7,240,0,240,0,240,0,240,2,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
