Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,Enerpoint Ltd.,Time,NETCOMM LIMITED,Time,UNKNOWN,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,"Samsung Electro Mechanics co., LTD.",Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,Netgear Inc.,Time,Intel Corporate,Time,DrayTek Corp.,Time,"Apple, Inc",Time,"NETGEAR INC.,",Time,"Samsung Electro Mechanics co.,LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Ubiquiti Networks,Time,Hewlett Packard,Time,IBM Corp,Time,Elitegroup Computer System Co.,Time,Liteon Tech Corp.,Time,HTC Corporation,Time,Hewlett-Packard Company,Time,"Billion Electric Co., Ltd.",Time,SEIKO EPSON CORPORATION,Time,"Murata Manufactuaring Co.,Ltd.",Time,Netgear Inc,Time,"Apple, Inc.",Time,Routerboard.com,Time,"SAMSUNG ELECTRO MECHANICS CO.,LTD.",Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Lexmark International Inc.,Time,ICP Electronics Inc.,Time,"Samsung Electronics Co.,Ltd"
206,9,206,0,206,1,206,1,206,2,206,0,206,1,206,3,206,0,206,1,206,3,206,2,206,2,210,0,210,0,214,2,214,3,236,1,240,1,240,1,245,0,248,0,257,0,286,0,321,1,325,0,380,0,423,0,477,1,583,0,612,0,806,0,1097,0,1131,0,1486,0,1981,0,2131,0,,
210,9,210,0,210,1,210,1,210,2,210,0,210,1,210,3,210,0,210,1,210,3,210,2,210,2,214,0,214,1,219,2,219,3,240,1,245,1,245,1,248,0,253,1,262,0,291,0,325,1,329,0,384,0,426,0,482,1,587,0,617,0,810,0,1102,0,1136,0,1491,0,1984,0,2136,0,,
214,9,214,0,214,1,214,1,214,2,214,0,214,1,214,3,214,0,214,1,214,3,214,2,214,2,219,0,219,2,223,2,223,3,245,1,248,1,248,1,253,0,257,1,266,0,296,0,329,1,333,0,388,0,431,0,486,1,591,0,621,0,815,0,1107,0,1140,0,1495,0,1988,0,2140,0,,
219,9,219,0,219,1,219,1,219,2,219,0,219,1,219,3,219,0,219,1,219,3,219,2,219,2,223,0,223,2,228,2,228,3,248,1,253,1,253,1,257,0,262,1,270,0,299,0,333,1,338,0,392,0,435,0,489,1,595,0,625,0,819,0,1111,0,1145,0,1499,0,1993,0,2144,0,,
223,9,223,0,223,1,223,1,223,2,223,0,223,1,223,2,223,0,223,1,223,3,223,2,223,2,228,0,228,2,232,2,232,3,253,1,257,0,257,1,262,0,266,1,274,0,304,0,338,1,342,0,396,0,439,0,494,1,600,0,630,0,823,0,1115,0,1149,0,1504,0,1997,0,2148,0,,
228,9,228,0,228,1,228,1,228,2,228,0,228,1,228,2,228,0,228,1,228,3,228,2,228,2,232,0,232,2,236,2,236,2,257,1,262,0,262,1,266,0,270,1,279,0,308,0,342,1,346,0,401,0,444,0,499,1,604,0,633,0,828,0,1119,0,1153,0,1507,0,2002,0,2153,0,,
232,9,232,0,232,1,232,1,232,2,232,0,232,1,232,2,232,0,232,1,232,3,232,2,232,2,236,0,236,2,240,2,240,2,262,1,266,0,266,1,270,0,274,1,283,0,312,0,346,1,350,0,405,0,447,0,502,1,608,0,638,0,831,0,1124,0,1157,0,1512,0,2005,0,2157,0,,
236,9,236,0,236,1,236,1,236,2,236,0,236,1,236,2,236,0,236,1,236,3,236,2,236,2,240,0,240,2,245,2,245,2,266,1,270,1,270,1,274,0,279,1,286,0,317,0,350,1,354,0,410,0,452,0,507,1,612,0,642,0,835,0,1128,0,1162,0,1516,0,2010,0,2161,0,,
240,9,240,0,240,1,240,1,240,2,240,0,240,1,240,2,240,0,240,1,240,3,240,2,240,2,245,1,245,2,248,2,248,2,270,1,274,1,274,1,279,0,283,1,291,0,321,0,354,0,358,0,414,0,456,0,511,1,617,0,646,0,840,0,1131,0,1165,0,1521,0,2015,0,2165,0,,
245,9,245,0,245,1,245,1,245,2,245,0,245,1,245,2,245,0,245,1,245,3,245,2,245,2,248,1,248,2,253,2,253,2,274,1,279,1,279,1,283,0,286,1,296,0,325,0,358,0,363,0,418,0,460,0,515,1,621,0,651,0,844,0,1136,0,1169,0,1525,0,2019,0,2169,0,,
