Time,Manual_Count,Time,Netgear Inc.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,UNKNOWN,Time,Billion Electric Co. Ltd.,Time,NETGEAR,Time,Belkin International Inc.,Time,Apple,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,DrayTek Corp.,Time,NETCOMM LIMITED,Time,Intel Corporate,Time,Dell Inc,Time,Netgear Inc,Time,"Apple, Inc.",Time,"Apple, Inc",Time,Hewlett-Packard Company,Time,D-Link International,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett Packard,Time,IBM Corp,Time,Ubiquiti Networks,Time,ASUSTek COMPUTER INC.,Time,Liteon Tech Corp.,Time,"NETGEAR INC.,",Time,SEIKO EPSON CORPORATION,Time,Microsoft,Time,"SAMSUNG ELECTRO MECHANICS CO., LTD.",Time,Liteon Technology Corporation,Time,"Samsung Electronics Co.,Ltd",Time,ASRock Incorporation,Time,Routerboard.com,Time,Apple Inc,Time,"Samsung Electro Mechanics co., LTD.",Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,Sony Mobile Communications AB
196,15,196,1,196,3,196,4,196,1,196,2,196,1,196,9,196,2,196,1,200,1,200,1,205,2,205,1,205,1,208,0,208,0,213,0,217,1,234,1,234,1,242,1,251,1,251,0,268,1,277,1,281,1,281,0,281,0,374,0,391,0,,,,,,,,,,,,
200,15,200,1,200,3,200,4,200,1,200,2,200,1,200,9,200,2,200,1,205,1,205,1,208,2,208,1,208,1,213,0,213,0,217,0,222,1,238,1,238,1,247,1,256,1,256,0,272,1,281,1,286,1,286,0,286,0,378,0,394,0,,,,,,,,,,,,
205,15,205,1,205,3,205,4,205,1,205,2,205,1,205,8,205,2,205,1,208,1,208,1,213,3,213,1,213,1,217,0,217,0,222,1,226,1,242,1,242,1,251,1,260,1,260,0,277,1,286,1,290,1,290,0,290,0,383,0,399,0,,,,,,,,,,,,
208,15,208,1,208,2,208,4,208,1,208,2,208,1,208,5,208,1,208,1,213,1,213,1,217,4,217,1,217,1,222,0,222,0,226,1,230,1,247,1,247,1,256,1,264,1,264,1,281,1,290,1,293,1,293,0,293,0,386,0,403,0,,,,,,,,,,,,
213,15,213,1,213,2,213,4,213,1,213,2,213,1,213,5,213,1,213,1,217,1,217,1,222,4,222,0,222,1,226,0,226,0,230,1,234,1,251,0,251,0,260,1,268,1,268,1,286,0,293,1,298,0,298,0,298,0,391,0,408,0,,,,,,,,,,,,
217,15,217,1,217,3,217,3,217,1,217,2,217,1,217,6,217,1,217,1,222,1,222,1,226,4,226,0,226,1,230,0,230,0,234,1,238,1,256,0,256,0,264,1,272,1,272,1,290,0,298,1,302,0,302,0,302,0,394,0,,,,,,,,,,,,,,
222,15,222,1,222,3,222,2,222,1,222,2,222,1,222,7,222,1,222,1,226,0,226,1,230,4,230,0,230,1,234,0,234,0,238,1,242,1,260,0,260,0,268,1,277,1,277,1,293,0,302,1,307,0,307,0,307,0,399,0,,,,,,,,,,,,,,
226,15,226,1,226,3,226,3,226,1,226,0,226,1,226,5,226,1,226,1,230,0,230,1,234,4,234,0,234,1,238,0,238,0,242,1,247,1,264,0,264,0,272,1,281,1,281,1,298,0,307,1,310,0,310,0,310,0,403,0,,,,,,,,,,,,,,
230,15,230,1,230,2,230,3,230,1,230,0,230,1,230,4,230,1,230,1,234,0,234,1,238,3,238,0,238,1,242,0,242,0,247,1,251,1,268,0,268,0,277,1,286,1,286,1,302,0,310,1,315,0,315,0,315,0,408,0,,,,,,,,,,,,,,
234,17,234,1,234,3,234,3,234,1,234,0,234,1,234,5,234,1,234,1,238,1,238,1,242,3,242,0,242,1,247,0,247,0,251,1,256,1,272,0,272,2,281,1,290,1,290,1,307,0,315,1,319,0,319,0,319,0,,,,,,,,,,,,,,,,
