Time,Manual_Count,Time,ASUSTek COMPUTER INC.,Time,Ubiquiti Networks,Time,UNKNOWN,Time,Apple,Time,Intel Corporate,Time,Billion Electric Co. Ltd.,Time,"CISCO SYSTEMS, INC.",Time,"TP-LINK TECHNOLOGIES CO.,LTD.",Time,NETCOMM LIMITED,Time,NETGEAR,Time,DrayTek Corp.,Time,"GIGA-BYTE TECHNOLOGY CO.,LTD.",Time,D-Link International,Time,Netgear Inc,Time,"NETGEAR INC.,",Time,ASRock Incorporation,Time,Routerboard.com,Time,ASUSTek COMPUTER INC.,Time,ASUSTek COMPUTER INC.,Time,"Apple, Inc",Time,ASUSTek COMPUTER INC.,Time,"COMPAL INFORMATION (KUNSHAN) CO., LTD.",Time,Hewlett-Packard Company,Time,IBM Corp,Time,Netgear Inc.,Time,Apple Inc,Time,"Hon Hai Precision Ind. Co.,Ltd.",Time,PEGATRON CORPORATION,Time,D-LINK INTERNATIONAL PTE LIMITED,Time,Dell Inc,Time,Hewlett Packard,Time,Liteon Technology Corporation,Time,Liteon Tech Corp.,Time,Lexmark International Inc.,Time,"Samsung Electro Mechanics co., LTD.",Time,HTC Corporation,Time,Sony Mobile Communications AB,Time,"Apple, Inc.",Time,"SAMSUNG ELECTRO MECHANICS CO.,LTD.",Time,"AzureWave Technologies, Inc.",Time,Microsoft,Time,Belkin International Inc.
142,9,142,2,142,1,142,3,142,6,142,1,142,1,142,2,142,1,146,1,146,1,150,1,150,3,155,0,159,1,159,1,167,0,176,1,180,2,184,2,184,1,188,2,188,1,193,0,193,0,196,0,205,0,210,0,218,0,222,0,239,1,239,1,264,1,277,1,285,0,302,0,332,0,,,,,,,,,,,,
146,9,146,2,146,1,146,4,146,8,146,1,146,1,146,2,146,1,150,1,150,1,155,1,155,3,159,0,163,1,163,1,172,0,180,1,184,2,188,2,188,1,193,2,193,1,196,0,196,0,201,0,210,0,213,0,222,0,226,0,243,1,243,1,268,1,281,1,290,0,306,0,336,0,,,,,,,,,,,,
150,9,150,2,150,1,150,4,150,8,150,1,150,1,150,2,150,1,155,1,155,1,159,1,159,4,163,0,167,1,167,1,176,0,184,1,188,2,193,2,193,0,196,1,196,0,201,0,201,0,205,0,213,0,218,0,226,0,230,0,247,1,247,1,272,0,285,1,293,0,310,0,,,,,,,,,,,,,,
155,9,155,2,155,1,155,5,155,7,155,1,155,1,155,2,155,1,159,1,159,1,163,1,163,4,167,0,172,1,172,1,180,0,188,1,193,2,196,1,196,0,201,1,201,0,205,0,205,0,210,0,218,0,222,0,230,0,235,0,251,1,251,1,277,0,290,1,297,0,315,0,,,,,,,,,,,,,,
159,9,159,2,159,1,159,6,159,6,159,1,159,1,159,2,159,1,163,1,163,1,167,1,167,6,172,0,176,1,176,1,184,1,193,1,196,1,201,1,201,0,205,1,205,0,210,0,210,0,213,0,222,0,226,0,235,0,239,0,256,1,256,0,281,0,293,0,302,0,319,0,,,,,,,,,,,,,,
163,9,163,2,163,1,163,6,163,6,163,1,163,1,163,2,163,1,167,1,167,1,172,1,172,6,176,0,180,1,180,1,188,1,196,1,201,1,205,1,205,0,210,1,210,0,213,0,213,0,218,0,226,0,230,0,239,0,243,0,260,1,260,0,285,0,297,0,306,0,323,0,,,,,,,,,,,,,,
167,9,167,2,167,1,167,7,167,6,167,1,167,1,167,2,167,1,172,1,172,1,176,1,176,6,180,1,184,1,184,1,193,1,201,0,205,1,210,1,210,0,213,0,213,0,218,2,218,0,222,0,230,0,235,0,243,0,247,0,264,1,264,0,290,0,302,0,310,0,327,0,,,,,,,,,,,,,,
172,9,172,2,172,1,172,7,172,5,172,1,172,1,172,2,172,1,176,1,176,1,180,0,180,4,184,1,188,1,188,1,196,1,205,0,210,1,213,0,213,0,218,0,218,0,222,2,222,0,226,0,235,0,239,0,247,0,251,0,268,1,268,0,293,0,306,0,315,0,332,0,,,,,,,,,,,,,,
176,9,176,2,176,1,176,7,176,5,176,1,176,1,176,2,176,1,180,1,180,0,184,0,184,5,188,1,193,1,193,1,201,1,210,0,213,0,218,0,218,1,222,1,222,0,226,2,226,0,230,0,239,0,243,0,251,0,256,0,272,0,272,0,297,0,310,0,319,0,336,0,,,,,,,,,,,,,,
180,9,180,2,180,1,180,4,180,3,180,2,180,1,180,2,180,1,184,1,184,0,188,0,188,5,193,1,196,1,196,1,205,1,213,0,218,0,222,1,222,1,226,1,226,0,230,2,230,1,235,0,243,0,247,0,256,0,260,0,277,0,277,0,302,0,315,0,323,0,,,,,,,,,,,,,,,,
